created_at,created_at,station.uuid,rssi,us_units
2014-10-17 05:16:02,2014-10-17 05:16:02,202481588171316,0,1
2014-10-17 05:17:36,2014-10-17 05:17:36,42,111,1
2014-10-17 05:22:03,2014-10-17 05:22:03,202481588171316,0,1
2014-10-17 05:22:35,2014-10-17 05:22:35,42,107,1
2014-10-17 05:27:36,2014-10-17 05:27:36,42,114,1
2014-10-17 05:28:04,2014-10-17 05:28:04,202481588171316,0,1
2014-10-17 05:32:36,2014-10-17 05:32:36,42,110,1
2014-10-17 05:34:03,2014-10-17 05:34:03,202481588171316,0,1
2014-10-17 05:37:36,2014-10-17 05:37:36,42,106,1
2014-10-17 05:40:05,2014-10-17 05:40:05,202481588171316,0,1
2014-10-17 05:42:36,2014-10-17 05:42:36,42,115,1
2014-10-17 05:46:04,2014-10-17 05:46:04,202481588171316,0,1
2014-10-17 05:47:36,2014-10-17 05:47:36,42,100,1
2014-10-17 05:52:03,2014-10-17 05:52:03,202481588171316,0,1
2014-10-17 05:52:36,2014-10-17 05:52:36,42,120,1
2014-10-17 05:57:36,2014-10-17 05:57:36,42,44,1
2014-10-17 05:57:37,2014-10-17 05:57:37,42,102,1
2014-10-17 05:58:04,2014-10-17 05:58:04,202481588171316,0,1
2014-10-17 06:02:37,2014-10-17 06:02:37,42,56,1
2014-10-17 06:02:38,2014-10-17 06:02:38,42,101,1
2014-10-17 06:04:03,2014-10-17 06:04:03,202481588171316,0,1
2014-10-17 06:07:36,2014-10-17 06:07:36,42,111,1
2014-10-17 06:10:03,2014-10-17 06:10:03,202481588171316,0,1
2014-10-17 06:12:37,2014-10-17 06:12:37,42,113,1
2014-10-17 06:16:03,2014-10-17 06:16:03,202481588171316,0,1
2014-10-17 06:17:36,2014-10-17 06:17:36,42,115,1
2014-10-17 06:22:04,2014-10-17 06:22:04,202481588171316,0,1
2014-10-17 06:22:37,2014-10-17 06:22:37,42,112,1
2014-10-17 06:27:37,2014-10-17 06:27:37,42,113,1
2014-10-17 06:28:03,2014-10-17 06:28:03,202481588171316,0,1
2014-10-17 06:32:37,2014-10-17 06:32:37,42,105,1
2014-10-17 06:34:02,2014-10-17 06:34:02,202481588171316,0,1
2014-10-17 06:37:37,2014-10-17 06:37:37,42,100,1
2014-10-17 06:40:03,2014-10-17 06:40:03,202481588171316,0,1
2014-10-17 06:42:37,2014-10-17 06:42:37,42,106,1
2014-10-17 06:46:03,2014-10-17 06:46:03,202481588171316,0,1
2014-10-17 06:47:37,2014-10-17 06:47:37,42,101,1
2014-10-17 06:52:04,2014-10-17 06:52:04,202481588171316,0,1
2014-10-17 06:52:37,2014-10-17 06:52:37,42,103,1
2014-10-17 06:57:38,2014-10-17 06:57:38,42,101,1
2014-10-17 06:58:03,2014-10-17 06:58:03,202481588171316,0,1
2014-10-17 07:02:38,2014-10-17 07:02:38,42,91,1
2014-10-17 07:04:03,2014-10-17 07:04:03,202481588171316,0,1
2014-10-17 07:07:38,2014-10-17 07:07:38,42,103,1
2014-10-17 07:10:00,2014-10-17 07:10:00,202481588171316,0,1
2014-10-17 07:12:38,2014-10-17 07:12:38,42,109,1
2014-10-17 07:15:03,2014-10-17 07:15:03,202481588171316,0,1
2014-10-17 07:17:38,2014-10-17 07:17:38,42,111,1
2014-10-17 07:21:04,2014-10-17 07:21:04,202481588171316,0,1
2014-10-17 07:22:38,2014-10-17 07:22:38,42,106,1
2014-10-17 07:27:04,2014-10-17 07:27:04,202481588171316,0,1
2014-10-17 07:27:38,2014-10-17 07:27:38,42,47,1
2014-10-17 07:27:44,2014-10-17 07:27:44,42,111,1
2014-10-17 07:32:38,2014-10-17 07:32:38,42,48,1
2014-10-17 07:33:04,2014-10-17 07:33:04,202481588171316,0,1
2014-10-17 07:37:38,2014-10-17 07:37:38,42,52,1
2014-10-17 07:39:04,2014-10-17 07:39:04,202481588171316,0,1
2014-10-17 07:42:38,2014-10-17 07:42:38,42,111,1
2014-10-17 07:45:04,2014-10-17 07:45:04,202481588171316,0,1
2014-10-17 07:47:38,2014-10-17 07:47:38,42,103,1
2014-10-17 07:51:02,2014-10-17 07:51:02,202481588171316,0,1
2014-10-17 07:52:38,2014-10-17 07:52:38,42,113,1
2014-10-17 07:57:03,2014-10-17 07:57:03,202481588171316,0,1
2014-10-17 07:57:38,2014-10-17 07:57:38,42,111,1
2014-10-17 08:02:38,2014-10-17 08:02:38,42,116,1
2014-10-17 08:03:01,2014-10-17 08:03:01,202481588171316,0,1
2014-10-17 08:07:38,2014-10-17 08:07:38,42,112,1
2014-10-17 08:09:04,2014-10-17 08:09:04,202481588171316,0,1
2014-10-17 08:12:39,2014-10-17 08:12:39,42,104,1
2014-10-17 08:15:03,2014-10-17 08:15:03,202481588171316,0,1
2014-10-17 08:17:39,2014-10-17 08:17:39,42,113,1
2014-10-17 08:21:04,2014-10-17 08:21:04,202481588171316,0,1
2014-10-17 08:22:39,2014-10-17 08:22:39,42,118,1
2014-10-17 08:27:03,2014-10-17 08:27:03,202481588171316,0,1
2014-10-17 08:27:39,2014-10-17 08:27:39,42,101,1
2014-10-17 08:32:39,2014-10-17 08:32:39,42,95,1
2014-10-17 08:33:03,2014-10-17 08:33:03,202481588171316,0,1
2014-10-17 08:37:39,2014-10-17 08:37:39,42,102,1
2014-10-17 08:39:04,2014-10-17 08:39:04,202481588171316,0,1
2014-10-17 08:42:39,2014-10-17 08:42:39,42,115,1
2014-10-17 08:45:03,2014-10-17 08:45:03,202481588171316,0,1
2014-10-17 08:47:39,2014-10-17 08:47:39,42,104,1
2014-10-17 08:51:04,2014-10-17 08:51:04,202481588171316,0,1
2014-10-17 08:52:39,2014-10-17 08:52:39,42,109,1
2014-10-17 08:57:04,2014-10-17 08:57:04,202481588171316,0,1
2014-10-17 08:57:40,2014-10-17 08:57:40,42,48,1
2014-10-17 08:57:41,2014-10-17 08:57:41,42,103,1
2014-10-17 09:02:40,2014-10-17 09:02:40,42,45,1
2014-10-17 09:02:41,2014-10-17 09:02:41,42,105,1
2014-10-17 09:03:04,2014-10-17 09:03:04,202481588171316,0,1
2014-10-17 09:07:40,2014-10-17 09:07:40,42,105,1
2014-10-17 09:09:03,2014-10-17 09:09:03,202481588171316,0,1
2014-10-17 09:12:40,2014-10-17 09:12:40,42,90,1
2014-10-17 09:15:02,2014-10-17 09:15:02,202481588171316,0,1
2014-10-17 09:17:40,2014-10-17 09:17:40,42,94,1
2014-10-17 09:21:04,2014-10-17 09:21:04,202481588171316,0,1
2014-10-17 09:22:40,2014-10-17 09:22:40,42,112,1
2014-10-17 09:27:04,2014-10-17 09:27:04,202481588171316,0,1
2014-10-17 09:27:40,2014-10-17 09:27:40,42,93,1
2014-10-17 09:32:40,2014-10-17 09:32:40,42,105,1
2014-10-17 09:33:03,2014-10-17 09:33:03,202481588171316,0,1
2014-10-17 09:37:40,2014-10-17 09:37:40,42,98,1
2014-10-17 09:39:04,2014-10-17 09:39:04,202481588171316,0,1
2014-10-17 09:42:40,2014-10-17 09:42:40,42,97,1
2014-10-17 09:45:03,2014-10-17 09:45:03,202481588171316,0,1
2014-10-17 09:47:40,2014-10-17 09:47:40,42,106,1
2014-10-17 09:51:03,2014-10-17 09:51:03,202481588171316,0,1
2014-10-17 09:52:40,2014-10-17 09:52:40,42,108,1
2014-10-17 09:57:03,2014-10-17 09:57:03,202481588171316,0,1
2014-10-17 09:57:40,2014-10-17 09:57:40,42,88,1
2014-10-17 10:02:40,2014-10-17 10:02:40,42,100,1
2014-10-17 10:03:04,2014-10-17 10:03:04,202481588171316,0,1
2014-10-17 10:07:40,2014-10-17 10:07:40,42,88,1
2014-10-17 10:09:01,2014-10-17 10:09:01,202481588171316,0,1
2014-10-17 10:12:41,2014-10-17 10:12:41,42,83,1
2014-10-17 10:14:03,2014-10-17 10:14:03,202481588171316,0,1
2014-10-17 10:17:41,2014-10-17 10:17:41,42,108,1
2014-10-17 10:20:03,2014-10-17 10:20:03,202481588171316,0,1
2014-10-17 10:22:41,2014-10-17 10:22:41,42,100,1
2014-10-17 10:26:04,2014-10-17 10:26:04,202481588171316,0,1
2014-10-17 10:27:41,2014-10-17 10:27:41,42,106,1
2014-10-17 10:32:02,2014-10-17 10:32:02,202481588171316,0,1
2014-10-17 10:32:41,2014-10-17 10:32:41,42,47,1
2014-10-17 10:32:42,2014-10-17 10:32:42,42,97,1
2014-10-17 10:37:41,2014-10-17 10:37:41,42,87,1
2014-10-17 10:38:04,2014-10-17 10:38:04,202481588171316,0,1
2014-10-17 10:42:41,2014-10-17 10:42:41,42,95,1
2014-10-17 10:44:03,2014-10-17 10:44:03,202481588171316,0,1
2014-10-17 10:47:41,2014-10-17 10:47:41,42,111,1
2014-10-17 10:50:03,2014-10-17 10:50:03,202481588171316,0,1
2014-10-17 10:52:41,2014-10-17 10:52:41,42,107,1
2014-10-17 10:56:02,2014-10-17 10:56:02,202481588171316,0,1
2014-10-17 10:57:41,2014-10-17 10:57:41,42,104,1
2014-10-17 11:01:04,2014-10-17 11:01:04,202481588171316,0,1
2014-10-17 11:02:41,2014-10-17 11:02:41,42,74,1
2014-10-17 11:07:02,2014-10-17 11:07:02,202481588171316,0,1
2014-10-17 11:07:41,2014-10-17 11:07:41,42,103,1
2014-10-17 11:12:46,2014-10-17 11:12:46,42,89,1
2014-10-17 11:13:03,2014-10-17 11:13:03,202481588171316,0,1
2014-10-17 11:17:42,2014-10-17 11:17:42,42,109,1
2014-10-17 11:19:04,2014-10-17 11:19:04,202481588171316,0,1
2014-10-17 11:22:42,2014-10-17 11:22:42,42,103,1
2014-10-17 11:25:03,2014-10-17 11:25:03,202481588171316,0,1
2014-10-17 11:27:47,2014-10-17 11:27:47,42,106,1
2014-10-17 11:31:03,2014-10-17 11:31:03,202481588171316,0,1
2014-10-17 11:32:42,2014-10-17 11:32:42,42,103,1
2014-10-17 11:37:04,2014-10-17 11:37:04,202481588171316,0,1
2014-10-17 11:37:42,2014-10-17 11:37:42,42,95,1
2014-10-17 11:42:42,2014-10-17 11:42:42,42,110,1
2014-10-17 11:43:01,2014-10-17 11:43:01,202481588171316,0,1
2014-10-17 11:47:42,2014-10-17 11:47:42,42,114,1
2014-10-17 11:48:03,2014-10-17 11:48:03,202481588171316,0,1
2014-10-17 11:52:42,2014-10-17 11:52:42,42,97,1
2014-10-17 11:54:03,2014-10-17 11:54:03,202481588171316,0,1
2014-10-17 11:57:42,2014-10-17 11:57:42,42,70,1
2014-10-17 12:00:04,2014-10-17 12:00:04,202481588171316,0,1
2014-10-17 12:02:42,2014-10-17 12:02:42,42,50,1
2014-10-17 12:02:43,2014-10-17 12:02:43,42,90,1
2014-10-17 12:06:04,2014-10-17 12:06:04,202481588171316,0,1
2014-10-17 12:07:42,2014-10-17 12:07:42,42,97,1
2014-10-17 12:12:04,2014-10-17 12:12:04,202481588171316,0,1
